Ticker,weight
AAPL,-6.447670150416236e-24
ABBV,0.06963225839411623
ADBE,-3.916211477380826e-23
ADSK,3.3925198560207554e-23
AEP,0.0317830068648191
AMAT,-1.9163202022267443e-23
AMD,0.05555128029640299
AMGN,1.936648325219703e-24
AMZN,-2.3272467580869052e-23
AVGO,0.06206818033948508
AXP,-5.721866176473974e-23
BA,-3.7195649903865096e-23
BAC,-3.4455561192428304e-23
BKNG,-9.282777639971238e-24
BLK,1.1121296758164289e-23
BMY,-1.2915722952180408e-23
BP,-1.078655390170703e-23
C,-9.146802026507522e-24
CAT,0.04773561614908411
CHTR,-3.673591330370784e-23
CMCSA,-4.847719093487606e-23
COP,-1.5565109891786998e-23
COST,-7.995459248686857e-24
CRM,-8.604855479414961e-23
CSCO,-1.3355958293969498e-24
CVX,-1.8205293987885333e-23
DE,0.02729067820744357
DIS,-3.843121539107422e-23
DUK,1.0239395263891456e-23
ED,5.8532341367469496e-24
EXC,6.086431395973317e-24
FDX,-3.23145439637568e-23
GE,-6.173490493366211e-23
GILD,-1.801979738968105e-23
GOOGL,-3.7732183575287556e-23
GS,1.0804212443629433e-24
HAL,-1.2205268111082698e-23
HD,1.6840759882946507e-23
HON,-2.3107969264753702e-23
IBM,-3.5261286029476724e-24
INTC,-4.9610433285401865e-23
JNJ,-1.3640695491187877e-23
JPM,-1.718340544892336e-23
KLAC,-2.494253411835357e-23
KO,-1.2670935752470652e-23
LLY,0.22899068452650923
LMT,-1.1166448187606279e-23
LRCX,5.465117802094397e-23
MA,-4.425563922896391e-23
MCD,8.218837093376825e-24
META,-4.9940143872700476e-23
MMM,-5.3453912207230616e-24
MO,-9.201925041605269e-24
MPC,6.360595105581919e-24
MRK,1.7666449456169725e-23
MS,1.794861394733704e-23
MSFT,-9.017377405839333e-24
MU,7.080286663359487e-24
NEE,8.434730243709204e-24
NFLX,-4.7585584661124534e-24
NKE,-2.779975835631684e-23
NVDA,0.19796977292823192
NXPI,-7.668064894703947e-23
ORCL,-1.8579078614504343e-23
PEG,5.730335807089414e-24
PEP,5.550850493529554e-24
PFE,-2.9254185452931215e-24
PG,-1.607324469518102e-23
PM,1.3348823579360662e-23
PSX,2.2382658135814764e-23
PYPL,-6.208353361595852e-23
QCOM,1.0944643436995454e-23
REGN,-2.6921773217619204e-23
RTX,-1.6069852701670279e-25
SAP,-2.855773882945986e-23
SBUX,-5.408659829127551e-23
SHEL,-1.574029924312961e-23
SLB,-2.726170685904178e-23
SO,2.1422691128909747e-25
SPGI,-2.514093908435511e-23
SRE,-1.667262224369973e-23
T,-1.540025351204862e-23
TGT,-8.476594993245373e-24
TMUS,0.005555223591569055
TSLA,0.046475743833420985
TTE,-2.614659637400514e-23
TXN,-3.059185513922009e-23
UNH,-2.186195652125744e-23
UPS,-1.0437288272683127e-23
V,-3.024702542004062e-23
VZ,-1.0386211859999004e-23
WDAY,-3.927970985144406e-23
WEC,0.04191059240343432
WFC,-9.153124066207745e-24
WMT,0.18503696246548337
XEL,-1.4321480346076252e-23
XOM,-2.520863602811897e-23
